cart_id,customer_id,created_at,cart_total,status
CART-48818259,GUEST-100610,2025-06-10,490.9,abandoned
CART-26540100,CUST-5354,2024-09-14,724.95,abandoned
CART-16589541,CUST-5883,2024-08-31,1809.26,abandoned
CART-81308045,CUST-4632,2025-06-05,2827.77,converted
CART-24434185,CUST-3369,2025-01-07,3930.66,abandoned
CART-83515469,CUST-1780,2024-08-29,2282.84,abandoned
CART-64739469,CUST-3538,2025-07-09,759.81,abandoned
CART-96717066,GUEST-102429,2024-12-07,1481.69,abandoned
CART-99073912,CUST-5370,2025-03-24,892.99,abandoned
CART-47844247,CUST-6195,2024-12-29,1481.83,abandoned
CART-95717882,CUST-5528,2024-10-06,83.16,abandoned
CART-37525666,CUST-5132,2024-10-27,2070.33,abandoned
CART-55780344,GUEST-100067,2025-03-21,36.9,abandoned
CART-83017386,CUST-3708,2025-06-17,2373.73,abandoned
CART-08490423,CUST-3436,2025-02-19,340.34,abandoned
CART-87808727,GUEST-102168,2024-11-06,2880.64,abandoned
CART-83537487,CUST-2099,2025-05-10,1328.67,abandoned
CART-72042788,CUST-1574,2025-04-24,5.47,abandoned
CART-89297243,CUST-3850,2024-12-26,118.54,abandoned
CART-51464894,CUST-1493,2024-10-20,658.93,abandoned
CART-54798341,GUEST-100720,2025-08-02,746.4,abandoned
CART-92878068,GUEST-103644,2025-03-15,2398.83,abandoned
CART-74344173,CUST-6906,2024-09-28,3627.79,abandoned
CART-11351795,GUEST-102769,2025-05-15,1336.86,abandoned
CART-00672593,GUEST-101207,2025-03-30,1715.43,abandoned
CART-42088493,GUEST-102328,2024-10-23,1220.66,abandoned
CART-45219885,CUST-6679,2025-07-04,201.84,abandoned
CART-15776137,GUEST-102300,2025-04-10,669.6,abandoned
CART-74947362,GUEST-102114,2024-10-01,896.36,abandoned
CART-26356218,CUST-7106,2025-05-09,1045.72,converted
CART-93637876,GUEST-101711,2025-01-28,853.88,abandoned
CART-65824216,CUST-1784,2024-10-01,2658.36,abandoned
CART-45191166,GUEST-103042,2025-04-03,170.59,abandoned
CART-39836191,CUST-3669,2025-01-27,2337.46,abandoned
CART-78559696,GUEST-103150,2025-02-23,1169.12,abandoned
CART-87673776,CUST-4844,2025-02-23,714.81,converted
CART-23164182,GUEST-103329,2025-07-20,192.72,converted
CART-01712318,GUEST-102528,2024-10-19,1385.77,abandoned
CART-96424649,CUST-1563,2025-02-27,1633.78,abandoned
CART-50859502,CUST-6244,2024-09-18,1960.41,abandoned
CART-85536960,CUST-5674,2025-06-08,5335.84,abandoned
CART-87887910,GUEST-101880,2025-08-02,1844.75,abandoned
CART-36200285,CUST-1697,2024-11-24,706.95,abandoned
CART-48213768,GUEST-100165,2024-12-16,853.53,abandoned
CART-18279293,CUST-3409,2025-02-10,740.25,abandoned
CART-05493639,CUST-1621,2025-04-14,182.94,abandoned
CART-01521446,CUST-5773,2025-02-18,964.68,abandoned
CART-62646553,CUST-2490,2025-04-15,1802.87,abandoned
CART-26531154,GUEST-100406,2025-06-04,1118.01,abandoned
CART-13782986,GUEST-103996,2025-01-31,2250.29,abandoned
CART-49016885,CUST-3028,2024-10-09,929.4,abandoned
CART-54811648,GUEST-102898,2025-04-04,1555.89,abandoned
CART-28680273,GUEST-102202,2025-05-22,664.2,abandoned
CART-12419236,CUST-2907,2025-01-05,1715.19,abandoned
CART-84990093,GUEST-102409,2024-10-30,3277.93,abandoned
CART-77278643,CUST-4491,2025-05-04,1386.08,abandoned
CART-25626051,GUEST-101099,2024-10-17,1802.3,abandoned
CART-33206435,CUST-4827,2025-05-21,1330.38,converted
CART-14089638,GUEST-101485,2024-12-19,768.82,abandoned
CART-91803818,GUEST-100308,2025-02-03,736.94,abandoned
CART-70211298,CUST-2495,2024-11-17,643.96,abandoned
CART-36243782,CUST-3095,2025-04-16,100.76,abandoned
CART-07369398,GUEST-102888,2025-06-20,1278.64,abandoned
CART-72344327,CUST-4174,2025-04-30,253.4,abandoned
CART-65320492,GUEST-100102,2025-07-17,1771.35,abandoned
CART-40563414,GUEST-101256,2025-06-14,1762.51,abandoned
CART-65932425,GUEST-101961,2025-08-14,1337.71,abandoned
CART-71810442,GUEST-103381,2025-02-12,1049.83,abandoned
CART-61925458,GUEST-100170,2025-06-09,1796.18,abandoned
CART-82095610,CUST-2102,2025-05-05,4329.42,converted
CART-32060054,CUST-1681,2025-04-06,76.62,abandoned
CART-90126158,CUST-2746,2025-01-09,3250.62,abandoned
CART-45924760,CUST-5373,2025-02-20,1844.99,abandoned
CART-21950677,CUST-5433,2025-04-24,634.25,abandoned
CART-34861921,CUST-2012,2025-01-30,2807.09,abandoned
CART-82844371,GUEST-103579,2025-08-14,1160.98,abandoned
CART-64016058,CUST-1982,2025-05-25,1209.04,abandoned
CART-11519482,CUST-5218,2025-06-21,1173.6,abandoned
CART-60243578,CUST-2247,2024-09-11,497.37,abandoned
CART-37331196,GUEST-102773,2025-05-03,327.99,abandoned
CART-96481062,CUST-5445,2025-05-06,592.46,abandoned
CART-99364087,CUST-5980,2025-06-02,869.2,converted
CART-70784378,CUST-1559,2025-01-03,134.83,abandoned
CART-58866821,CUST-7174,2025-07-03,454.11,abandoned
CART-20559266,CUST-4383,2024-12-13,943.38,abandoned
CART-81442152,CUST-7193,2024-09-24,1905.07,abandoned
CART-91675112,CUST-2075,2025-01-05,2909.51,abandoned
CART-86010419,CUST-2391,2025-01-24,4742.59,abandoned
CART-88621772,CUST-6139,2025-02-05,567.44,abandoned
CART-69983576,GUEST-100130,2025-06-25,682.15,abandoned
CART-11043733,GUEST-102038,2025-05-18,304.34,abandoned
CART-74228331,GUEST-100488,2025-07-01,1645.26,abandoned
CART-87501329,GUEST-101940,2024-10-07,1035.61,abandoned
CART-70322457,CUST-5349,2025-04-13,1192.16,abandoned
CART-95916791,GUEST-102837,2024-12-21,1435.07,abandoned
CART-63773011,CUST-2605,2025-01-02,894.16,abandoned
CART-35707643,CUST-6990,2024-11-27,1189.19,abandoned
CART-77341582,CUST-4079,2025-06-14,667.05,abandoned
CART-38256258,CUST-5520,2024-10-20,991.87,abandoned
CART-99324827,CUST-1619,2024-10-15,1544.08,converted
CART-97782135,GUEST-101066,2024-10-07,323.74,abandoned
CART-60607466,CUST-6125,2025-07-07,864.0,abandoned
CART-55504652,CUST-4703,2025-07-22,500.54,abandoned
CART-15837525,GUEST-103070,2024-12-13,1127.15,abandoned
CART-24884000,GUEST-102243,2024-10-27,882.3,abandoned
CART-31506049,GUEST-100411,2025-02-03,841.86,abandoned
CART-57397875,GUEST-100359,2025-02-21,619.13,abandoned
CART-43304896,CUST-6705,2025-04-05,256.66,abandoned
CART-70261667,CUST-6658,2025-03-25,838.61,abandoned
CART-56343475,GUEST-102963,2025-07-01,1122.47,abandoned
CART-38767525,CUST-3749,2024-12-06,1523.73,converted
CART-55808678,CUST-5056,2025-04-03,536.34,abandoned
CART-26883451,CUST-3084,2024-12-05,1517.7,abandoned
CART-48801962,GUEST-100120,2025-07-31,1060.96,abandoned
CART-57996975,GUEST-100880,2025-04-30,1131.02,abandoned
CART-62807728,GUEST-100264,2024-11-21,2044.77,abandoned
CART-51471669,CUST-1612,2025-03-04,963.87,abandoned
CART-82174862,GUEST-101466,2025-06-14,511.7,abandoned
CART-49416836,GUEST-103176,2025-07-09,166.24,abandoned
CART-04482393,GUEST-100386,2025-06-18,1163.48,abandoned
CART-88386201,CUST-5596,2024-09-12,568.88,abandoned
CART-89200788,CUST-1670,2025-04-30,3825.88,converted
CART-69510175,CUST-4972,2025-02-09,1561.03,abandoned
CART-88641019,GUEST-103856,2025-08-04,673.11,abandoned
CART-02990918,CUST-3170,2024-09-23,2542.24,abandoned
CART-83996143,GUEST-102299,2025-07-30,1052.47,abandoned
CART-60415664,CUST-7291,2025-05-22,285.3,abandoned
CART-48864898,CUST-6400,2025-02-08,1124.53,abandoned
CART-54929409,CUST-4851,2025-04-03,1066.73,abandoned
CART-54688290,GUEST-101037,2025-07-08,72.34,abandoned
CART-21187532,GUEST-102907,2024-10-19,1901.31,abandoned
CART-65820323,GUEST-103041,2025-08-02,912.66,abandoned
CART-93275514,CUST-4323,2025-06-20,1035.28,abandoned
CART-82559596,GUEST-101905,2024-11-16,592.1,abandoned
CART-98852763,GUEST-102643,2025-02-19,1236.67,abandoned
CART-58053888,CUST-7460,2025-02-03,830.05,converted
CART-38063536,GUEST-103479,2025-08-11,1018.58,abandoned
CART-71509267,GUEST-102787,2024-12-09,893.76,converted
CART-30782694,GUEST-103241,2024-12-04,968.97,abandoned
CART-92950093,CUST-6556,2024-09-28,1886.53,converted
CART-04052576,CUST-3654,2025-04-27,4174.6,abandoned
CART-83136249,CUST-6701,2024-09-29,660.6,abandoned
CART-24266752,CUST-4800,2025-03-09,117.92,abandoned
CART-22467939,GUEST-102073,2025-05-10,484.8,abandoned
CART-86607822,GUEST-100888,2025-03-24,1428.89,abandoned
CART-11432240,CUST-6212,2025-02-05,2138.03,abandoned
CART-49097496,CUST-2319,2025-04-19,291.0,abandoned
CART-85028136,CUST-3388,2025-03-01,519.19,abandoned
CART-48710188,GUEST-102115,2025-01-07,2370.3,abandoned
CART-76769766,CUST-4746,2024-09-27,2984.07,abandoned
CART-04326874,GUEST-102870,2025-03-24,9.08,abandoned
CART-78548817,GUEST-103998,2024-09-18,196.49,abandoned
CART-69355294,GUEST-101428,2025-02-23,112.22,converted
CART-68457489,CUST-4960,2025-05-04,507.66,abandoned
CART-26440912,CUST-2190,2025-07-31,851.76,abandoned
CART-13288752,GUEST-103287,2025-08-14,2450.75,abandoned
CART-63492041,GUEST-102812,2024-12-30,750.24,abandoned
CART-68840330,CUST-4595,2025-08-19,1874.27,abandoned
CART-85475533,CUST-5700,2025-05-20,2172.08,abandoned
CART-80831379,GUEST-100956,2024-08-30,857.45,abandoned
CART-64049373,CUST-6264,2024-08-31,659.9,abandoned
CART-98058761,GUEST-103460,2024-12-24,300.06,abandoned
CART-96462672,CUST-3276,2025-06-01,649.51,abandoned
CART-91803352,GUEST-100046,2025-06-11,814.59,abandoned
CART-65684912,CUST-3568,2025-08-05,1670.5,abandoned
CART-04577285,CUST-5337,2025-03-11,5129.91,abandoned
CART-01611623,CUST-2808,2024-09-15,1203.68,abandoned
CART-22268151,CUST-4918,2025-03-26,580.2,abandoned
CART-87198020,CUST-3619,2025-07-23,3035.92,abandoned
CART-44905108,GUEST-102207,2024-09-24,624.99,converted
CART-60047426,CUST-4228,2025-06-29,1277.39,abandoned
CART-39506453,GUEST-102836,2025-01-20,1312.49,abandoned
CART-46913241,GUEST-102166,2025-04-01,672.66,abandoned
CART-58559290,CUST-6551,2024-10-17,3243.09,converted
CART-15940606,GUEST-100038,2024-10-29,3278.82,abandoned
CART-20918069,CUST-5963,2025-06-29,2501.4,abandoned
CART-07460238,CUST-4414,2024-12-29,764.42,abandoned
CART-38971138,CUST-5950,2024-09-29,213.45,abandoned
CART-26376281,GUEST-100600,2024-09-22,523.45,abandoned
CART-23762385,CUST-2234,2025-06-15,854.62,abandoned
CART-29142732,GUEST-102122,2025-06-13,1555.77,abandoned
CART-21690137,CUST-7173,2024-11-20,1900.41,abandoned
CART-09336531,CUST-3919,2025-03-09,1532.8,abandoned
CART-51368518,CUST-3349,2025-07-17,1625.12,abandoned
CART-35146680,CUST-3011,2025-06-24,937.01,abandoned
CART-40194528,CUST-1892,2025-01-14,1696.4,abandoned
CART-37876009,CUST-2297,2025-02-24,2076.96,abandoned
CART-22443158,CUST-3047,2024-12-14,4226.93,abandoned
CART-77806611,CUST-1679,2024-12-29,2550.13,abandoned
CART-63478046,CUST-4038,2025-01-03,1112.92,abandoned
CART-86356856,CUST-7120,2025-07-22,1953.75,converted
CART-03455651,CUST-3081,2025-08-04,1938.81,abandoned
CART-46049598,GUEST-103766,2025-06-09,1392.58,abandoned
CART-40870336,CUST-6699,2024-09-19,2190.21,abandoned
CART-55733885,CUST-4604,2024-11-07,372.48,abandoned
CART-33347297,CUST-3952,2024-09-16,734.82,abandoned
CART-17579003,CUST-4996,2025-01-21,1754.71,converted
CART-97599647,GUEST-100610,2025-03-03,2046.6,abandoned
CART-38194779,GUEST-102872,2024-12-03,1782.15,abandoned
CART-23374839,GUEST-103345,2025-01-25,1222.09,abandoned
CART-25340207,GUEST-102768,2025-02-15,604.95,abandoned
CART-12997377,CUST-1923,2024-12-14,1057.71,abandoned
CART-32498755,CUST-7457,2025-04-16,592.41,abandoned
CART-50828801,GUEST-102681,2024-09-11,1010.25,converted
CART-29891833,CUST-4882,2025-02-08,479.21,converted
CART-94240667,CUST-3632,2025-01-26,923.47,abandoned
CART-09117605,GUEST-103151,2025-07-12,1472.46,abandoned
CART-90878656,CUST-2721,2025-03-08,2303.27,abandoned
CART-78968268,GUEST-102193,2024-09-29,1493.43,abandoned
CART-21490022,CUST-2750,2024-11-12,1242.73,abandoned
CART-96478881,GUEST-101063,2024-09-22,1057.03,converted
CART-17524446,CUST-5051,2025-03-17,295.98,abandoned
CART-73345211,GUEST-102067,2025-03-19,682.8,abandoned
CART-19412298,GUEST-102999,2025-05-02,2862.07,abandoned
CART-44481840,CUST-7045,2024-09-06,1586.67,abandoned
CART-57811929,CUST-1990,2024-11-10,1106.88,abandoned
CART-40371429,CUST-7030,2025-03-11,1048.61,abandoned
CART-81113862,CUST-5028,2024-11-22,3919.74,abandoned
CART-37518492,CUST-3306,2025-03-06,231.87,abandoned
CART-20784063,CUST-4189,2025-07-22,2850.31,abandoned
CART-67684422,CUST-2165,2024-12-02,1959.17,abandoned
CART-01038812,GUEST-100269,2025-02-11,1252.82,abandoned
CART-16646998,CUST-7358,2025-01-21,1414.94,abandoned
CART-18012927,CUST-2602,2025-03-17,4694.03,converted
CART-28568103,GUEST-100966,2025-02-23,187.1,abandoned
CART-06870445,GUEST-102713,2024-10-07,1899.25,abandoned
CART-93449678,GUEST-103299,2025-02-04,650.07,abandoned
CART-98175183,CUST-7220,2024-10-25,2988.37,converted
CART-03150784,GUEST-103226,2024-09-29,1536.89,abandoned
CART-95232002,GUEST-101148,2024-08-23,581.25,abandoned
CART-27297366,CUST-4599,2025-05-20,1966.39,abandoned
CART-84950224,CUST-1612,2025-03-05,1240.61,abandoned
CART-76828894,CUST-2509,2025-04-23,560.16,abandoned
CART-50437876,GUEST-102518,2024-09-24,862.67,abandoned
CART-15100347,CUST-6916,2025-01-04,1604.36,converted
CART-30150124,CUST-6425,2025-01-05,2421.32,converted
CART-05626117,CUST-4432,2025-05-17,651.63,abandoned
CART-76839301,CUST-4415,2025-01-02,424.54,abandoned
CART-92902620,CUST-1721,2025-05-10,823.03,abandoned
CART-69131100,CUST-2459,2024-09-16,1541.84,abandoned
CART-06423157,CUST-6070,2024-10-20,2122.86,converted
CART-88112612,GUEST-103897,2025-02-20,792.44,abandoned
CART-92506583,GUEST-103721,2025-03-01,970.89,abandoned
CART-15596940,CUST-4025,2025-02-06,1026.86,abandoned
CART-63096546,CUST-2717,2025-03-05,1772.55,abandoned
CART-67317496,CUST-2152,2024-09-23,817.87,abandoned
CART-35016941,GUEST-103810,2024-10-02,73.43,abandoned
CART-71700476,GUEST-101912,2024-11-20,918.49,abandoned
CART-07084496,GUEST-101103,2025-03-23,748.64,abandoned
CART-73572244,GUEST-100579,2025-04-18,317.69,abandoned
CART-42903661,CUST-3745,2025-02-07,810.16,abandoned
CART-40610880,GUEST-102287,2025-06-27,2222.87,abandoned
CART-75330102,CUST-6003,2025-01-18,1373.57,converted
CART-37918230,CUST-3168,2025-01-17,1424.31,abandoned
CART-20120964,GUEST-101941,2025-02-12,2441.23,abandoned
CART-47762458,CUST-7163,2025-04-08,2527.25,converted
CART-07456218,CUST-5625,2024-10-01,70.48,abandoned
CART-46006899,CUST-1726,2024-12-08,1794.99,abandoned
CART-20503899,CUST-5383,2025-01-27,327.07,converted
CART-84531935,CUST-5341,2024-11-07,637.1,abandoned
CART-40175915,CUST-2807,2025-07-17,2083.88,abandoned
CART-47758338,GUEST-100492,2024-10-13,2550.61,abandoned
CART-04816944,GUEST-100344,2024-11-06,998.66,abandoned
CART-06286841,GUEST-101310,2025-06-11,1221.5,abandoned
CART-54670034,CUST-6718,2024-09-10,405.3,abandoned
CART-55110344,CUST-2021,2025-08-02,1147.64,abandoned
CART-84337419,GUEST-103137,2025-03-21,169.33,abandoned
CART-72801136,CUST-6414,2025-01-26,512.88,converted
CART-61428299,CUST-5582,2024-12-05,294.4,abandoned
CART-53602053,CUST-4397,2025-03-20,753.88,abandoned
CART-16512426,CUST-5605,2025-01-02,805.27,abandoned
CART-79899148,GUEST-100340,2025-07-12,120.48,converted
CART-60905162,CUST-2045,2025-02-24,1879.69,abandoned
CART-34994068,GUEST-100536,2025-06-13,1343.77,abandoned
CART-02678524,GUEST-103316,2024-11-29,829.76,abandoned
CART-40150167,GUEST-102378,2025-05-05,828.1,abandoned
CART-45720242,GUEST-102819,2024-11-01,1545.92,converted
CART-79567999,GUEST-100837,2025-04-18,1135.26,abandoned
CART-45618669,CUST-6601,2025-03-07,1153.89,abandoned
CART-43979304,GUEST-103592,2024-11-30,740.91,abandoned
CART-90625969,CUST-6406,2024-12-18,501.83,abandoned
CART-69864469,CUST-6816,2024-09-14,3784.4,abandoned
CART-78787404,CUST-6011,2025-05-25,1331.71,abandoned
CART-97070917,CUST-7090,2025-01-15,1528.93,abandoned
CART-91839863,CUST-2351,2025-07-15,282.9,abandoned
CART-75600375,CUST-7398,2024-10-22,529.29,converted
CART-03670968,GUEST-103244,2025-04-06,1348.1,abandoned
CART-34213905,GUEST-103745,2025-06-01,72.18,converted
CART-75457116,CUST-4657,2024-08-28,1607.38,abandoned
CART-40810581,GUEST-101083,2025-04-07,416.6,abandoned
CART-67642611,GUEST-103517,2025-07-02,416.2,abandoned
CART-36594761,CUST-4087,2024-09-10,3023.17,converted
CART-27799221,CUST-3554,2025-03-22,1208.48,abandoned
CART-29992063,GUEST-103073,2025-03-30,2346.31,converted
CART-29138621,CUST-2994,2025-08-20,3178.58,abandoned
CART-91912049,CUST-2868,2024-10-12,1258.92,abandoned
CART-33739596,CUST-2497,2025-04-12,489.98,abandoned
CART-58232338,CUST-6421,2025-04-16,450.05,abandoned
CART-30710207,GUEST-100961,2024-12-15,411.8,abandoned
CART-67902193,CUST-5462,2024-09-08,218.88,abandoned
CART-08098191,CUST-5730,2025-01-09,3972.83,converted
CART-30226158,GUEST-102158,2024-12-28,1579.27,abandoned
CART-04292711,GUEST-100466,2025-02-11,848.72,abandoned
CART-89647583,GUEST-103695,2025-01-30,1982.62,converted
CART-79897114,GUEST-103801,2024-10-25,1980.77,abandoned
CART-59354682,CUST-5802,2025-06-28,2664.6,converted
CART-82175509,CUST-4647,2024-11-18,2601.17,abandoned
CART-13901105,CUST-7302,2024-12-21,441.81,abandoned
CART-10208129,GUEST-102719,2025-02-10,1937.38,abandoned
CART-09864945,CUST-5861,2025-02-20,3365.06,abandoned
CART-68946253,CUST-7102,2025-02-15,1008.68,abandoned
CART-26286849,CUST-2438,2024-12-05,1916.96,abandoned
CART-09972646,CUST-3784,2025-04-08,3972.65,abandoned
CART-03376597,CUST-3884,2025-07-24,496.98,abandoned
CART-04077916,GUEST-100939,2025-08-13,1082.24,abandoned
CART-21380089,CUST-5569,2025-02-22,2001.38,abandoned
CART-01994801,CUST-2462,2025-06-14,3001.89,abandoned
CART-96350741,CUST-4975,2025-02-07,411.58,abandoned
CART-32244523,GUEST-100458,2025-03-30,1483.89,abandoned
CART-63905077,GUEST-100328,2024-09-19,2278.11,abandoned
CART-00091077,CUST-2025,2025-06-23,405.56,abandoned
CART-14979245,GUEST-101984,2024-09-05,2037.78,abandoned
CART-69352534,GUEST-100215,2024-10-22,793.55,converted
CART-22757314,GUEST-103057,2024-09-19,1983.85,abandoned
CART-77377919,GUEST-100193,2024-10-13,1371.01,abandoned
CART-15062665,CUST-4071,2025-07-17,1069.38,abandoned
CART-74940875,GUEST-100621,2024-11-28,532.7,abandoned
CART-72840287,CUST-3681,2025-07-03,42.22,converted
CART-04795430,CUST-6177,2025-08-19,324.68,abandoned
CART-26700122,CUST-4231,2025-01-03,836.19,converted
CART-97798337,GUEST-103325,2025-07-09,1909.4,abandoned
CART-59832061,CUST-4395,2025-01-05,1173.81,converted
CART-58102964,CUST-3559,2024-12-15,1290.24,converted
CART-26733824,CUST-2651,2025-04-23,1219.53,abandoned
CART-57618601,CUST-7265,2024-10-16,1026.87,converted
CART-77842333,CUST-1724,2025-04-17,1072.93,abandoned
CART-92397520,GUEST-102772,2025-08-21,463.74,abandoned
CART-62084381,CUST-5978,2025-01-15,4491.77,abandoned
CART-10061105,CUST-2671,2024-09-18,4960.9,converted
CART-33017159,GUEST-102903,2025-02-05,1034.57,abandoned
CART-08333904,CUST-4657,2024-08-26,610.48,converted
CART-07241418,CUST-1556,2025-04-14,1231.25,abandoned
CART-10365631,CUST-4860,2024-10-05,1043.65,abandoned
CART-79540910,CUST-1791,2024-10-27,1034.19,converted
CART-09431074,GUEST-100013,2025-01-29,1600.26,converted
CART-27625713,GUEST-101116,2024-12-10,1557.02,abandoned
CART-85104577,CUST-2629,2025-03-03,2362.39,converted
CART-30399974,CUST-5066,2025-04-30,684.09,abandoned
CART-16088891,CUST-2348,2025-02-17,394.09,abandoned
CART-52472598,CUST-1557,2025-07-24,160.23,converted
CART-34258360,CUST-7356,2025-06-19,399.67,abandoned
CART-09174151,CUST-5886,2024-12-06,4851.06,abandoned
CART-83326751,CUST-2702,2024-12-20,225.61,abandoned
CART-13102926,GUEST-103450,2024-08-29,68.91,abandoned
CART-95767664,GUEST-100737,2025-07-20,2029.87,abandoned
CART-46443278,CUST-7061,2025-06-17,590.1,converted
CART-08946430,CUST-6963,2025-04-07,628.53,abandoned
CART-52019713,GUEST-102849,2025-02-08,976.9,abandoned
CART-09580328,CUST-5429,2025-07-31,437.67,converted
CART-82791725,CUST-1755,2025-01-07,1754.27,abandoned
CART-73162542,GUEST-103551,2025-03-22,1234.63,abandoned
CART-07112098,GUEST-102781,2025-05-18,389.44,converted
CART-55591822,GUEST-101300,2025-03-13,383.97,abandoned
CART-65722159,GUEST-102059,2024-12-01,287.41,abandoned
CART-36579924,GUEST-100071,2025-07-31,2565.73,abandoned
CART-98661772,GUEST-101925,2025-06-06,2554.89,abandoned
CART-57898846,CUST-4856,2025-08-08,1807.05,converted
CART-01746957,GUEST-100820,2024-10-01,1202.69,abandoned
CART-42222937,GUEST-101998,2025-04-02,2065.38,abandoned
CART-40544902,CUST-5881,2025-01-08,497.32,abandoned
CART-66318860,GUEST-100610,2025-02-05,325.98,abandoned
CART-50504648,GUEST-103216,2024-11-01,225.46,abandoned
CART-40828466,CUST-6409,2025-02-12,1282.68,converted
CART-12862609,CUST-1975,2025-04-05,1402.49,abandoned
CART-02412940,CUST-2464,2025-03-07,1114.49,converted
CART-29182286,GUEST-102965,2025-03-07,1499.61,abandoned
CART-97972273,CUST-7369,2025-06-11,613.18,abandoned
CART-94690680,GUEST-103529,2025-02-11,604.52,converted
CART-18817351,GUEST-103998,2025-05-21,748.84,abandoned
CART-92884813,CUST-2259,2025-06-02,173.9,abandoned
CART-23094248,CUST-3781,2025-04-02,418.12,abandoned
CART-68079333,GUEST-103619,2024-11-09,1373.07,abandoned
CART-23686071,CUST-6512,2025-05-25,3405.94,abandoned
CART-34352446,CUST-7022,2025-01-14,2521.61,abandoned
CART-81858141,CUST-4718,2024-09-03,174.15,abandoned
CART-16557624,GUEST-101949,2025-06-02,1640.29,abandoned
CART-44472559,CUST-6186,2025-08-11,1607.55,abandoned
CART-81384549,CUST-6269,2025-07-05,1125.79,abandoned
CART-93806535,GUEST-103641,2025-04-09,950.52,converted
CART-92502282,CUST-6429,2025-02-05,1058.29,abandoned
CART-30456514,CUST-6087,2025-04-29,62.53,abandoned
CART-20858866,CUST-4506,2025-05-09,4597.78,abandoned
CART-68430896,CUST-3998,2025-04-22,515.53,abandoned
CART-42358884,CUST-6740,2025-05-10,1653.97,abandoned
CART-22482005,GUEST-100047,2024-10-16,1896.8,abandoned
CART-65192827,CUST-2952,2024-11-03,4096.52,abandoned
CART-21928741,CUST-6949,2024-08-31,2974.35,abandoned
CART-09698780,CUST-1563,2025-02-19,2564.1,abandoned
CART-30334830,CUST-4923,2025-02-23,3012.15,abandoned
CART-22140694,CUST-4887,2025-07-15,184.54,abandoned
CART-09692597,CUST-6431,2025-07-09,1629.8,abandoned
CART-16320569,CUST-3092,2024-12-31,87.82,abandoned
CART-82572825,GUEST-103595,2025-03-17,592.77,abandoned
CART-34073046,GUEST-102518,2025-07-28,516.24,abandoned
CART-76803506,CUST-2830,2024-11-15,458.7,abandoned
CART-66472456,GUEST-100136,2025-05-17,1682.93,abandoned
CART-03853155,GUEST-102645,2024-12-24,1653.77,abandoned
CART-09032894,CUST-2143,2025-04-06,203.07,abandoned
CART-77854155,GUEST-100849,2024-12-25,2455.43,abandoned
CART-66086346,CUST-2458,2025-03-23,765.67,abandoned
CART-45148403,GUEST-102427,2025-02-27,2169.7,abandoned
CART-50044556,GUEST-103519,2025-07-09,2243.42,abandoned
CART-52253345,CUST-5941,2025-06-08,467.53,abandoned
CART-03255827,GUEST-103281,2024-11-13,395.01,abandoned
CART-51565214,GUEST-102731,2024-12-01,2524.63,abandoned
CART-47585732,GUEST-101042,2025-06-28,1314.39,abandoned
CART-83617797,CUST-6698,2025-04-28,1451.13,abandoned
CART-53955877,CUST-3249,2025-01-06,2195.14,abandoned
